ticker,company,bucket,earnings_date,short_term_stance,short_term_confidence,short_term_rationale,long_term_stance,long_term_confidence,long_term_rationale,key_evidence,sources,leakage_check
AAPL,Apple,mega_cap_platform,2026-01-29,Bullish,0.63,Record revenue and EPS with iPhone and Services highs supported near-term relief,Neutral,0.55,Strong fundamentals but AI strategy was less explicit than peers,Fiscal Q1 revenue 143.8B and EPS 2.84 with iPhone and Services records,Apple IR; MacRumors,Public on 2026-01-29
MSFT,Microsoft,mega_cap_platform,2026-01-28,Bearish,0.66,Beat numbers but Azure slowdown capex and capacity constraints dominated,Neutral,0.58,Azure and AI franchise intact but heavy capex lowered multiple support,Revenue 81.3B and EPS 4.14 with post-earnings capex concern,Microsoft IR; Fortune; Yahoo,Public on 2026-01-28 or 2026-01-29
GOOGL,Alphabet,mega_cap_platform,2026-02-03,Neutral,0.56,Solid Q4 but muted reaction and high expectations limited short-term upside,Bullish,0.62,Cloud AI demand and ad resilience supported 30-day outperformance odds,Q4 revenue and EPS beat with modest after-hours weakness,Alphabet IR; TheStreet,Public by earnings call window
AMZN,Amazon,mega_cap_platform,2026-02-05,Bearish,0.72,Profit miss and 200B capex framing created clear selloff risk,Neutral,0.56,AWS acceleration offset capex anxiety over longer window,Strong AWS but stock sank on profit and capex concerns,Amazon IR; GeekWire,Public on 2026-02-05
META,Meta Platforms,mega_cap_platform,2026-01-28,Bullish,0.64,Q4 beat and after-hours strength outweighed capex concern initially,Neutral,0.58,Large 2026 capex and expense guide could cap valuation after initial relief,Revenue 59.9B and EPS beat with capex 115B to 135B,Meta IR; Business Insider,Public on 2026-01-28
TSLA,Tesla,mega_cap_platform,2026-01-28,Bearish,0.74,Delivery decline and weakening auto earnings quality dominated,Bearish,0.68,Robotaxi and Optimus narrative remained long-dated while core auto pressure was immediate,Q4 update and analyst focus on delivery decline and earnings deterioration,Tesla IR; Business Insider,Public on 2026-01-28
NVDA,Nvidia,mega_cap_platform,2026-02-25,Bullish,0.76,Large beat and record AI revenue supported momentum,Bullish,0.72,AI accelerator demand remained structurally strong despite competition concerns,Revenue 68.1B up 73 percent YoY and adjusted EPS beat,Nvidia IR; Investopedia,Public on 2026-02-25
AMD,Advanced Micro Devices,ai_semis,2026-02-03,Bearish,0.61,Good Q4 but earnings-day commentary indicated stock weakness despite positives,Neutral,0.55,Data-center growth credible but investor bar and Nvidia gap limited conviction,Q4 revenue and EPS beat but stock sank despite positive results,Yahoo; LeverageShares,Public by 2026-02-03
AVGO,Broadcom,ai_semis,2026-03-05,Bullish,0.76,AI revenue beat and Q2 AI guide supported strong continuation,Bullish,0.74,Custom AI accelerators and networking backlog strengthened 30-day thesis,Q1 AI revenue 8.4B up 106 percent YoY and Q2 AI guide 10.7B,Broadcom IR,Public by 2026-03-05
MU,Micron Technology,ai_semis,2025-12-17,Bullish,0.7,HBM and memory upcycle plus AI demand supported continuation,Bullish,0.68,Structural HBM tightness supported 30-day outperformance,AI memory demand and HBM shortage narrative,MarketWatch; Barrons later context,Evidence quality weaker for exact date
QCOM,Qualcomm,ai_semis,2026-02-04,Bearish,0.65,Revenue miss and weak guide caused negative after-hours reaction,Neutral,0.54,Handset cyclicality offset by custom AI and datacenter optionality,EPS beat but revenue miss and stock down after close,Quiver; TradingView,Public on 2026-02-04
ARM,Arm Holdings,ai_semis,2026-02-04,Bearish,0.66,Modest beat and shares fell sharply after hours,Neutral,0.55,Royalty and data-center AI story durable but valuation demanding,Revenue up 26 percent and EPS beat but shares fell over 8 percent AH,MLQ; TIKR,Public on 2026-02-04
TSM,Taiwan Semiconductor,ai_semis,2026-01-15,Bullish,0.78,Q4 beat and AI demand guidance produced strong stock reaction,Bullish,0.76,2026 revenue growth near 30 percent and AI accelerator strength supported sustained thesis,Q4 beat and 2026 revenue forecast close to 30 percent,TSMC transcript; Yahoo; Investing.com,Public on 2026-01-15
ASML,ASML Holding,ai_semis,2026-01-28,Bullish,0.77,Record bookings crushed expectations due to AI capacity demand,Bullish,0.74,Backlog and 2026 sales guide supported semi-equipment momentum,Q4 bookings 13.2B euro versus 6.32B expected and sales guide 34B to 39B euro,ASML IR; Reuters,Public on 2026-01-28
AMAT,Applied Materials,ai_semis,2026-02-12,Neutral,0.5,Limited exact contemporaneous source and no strong stock-specific catalyst found,Neutral,0.5,AI equipment demand positive but no strong point-in-time edge,Insufficient direct earnings-day evidence retrieved,Limited source quality,Leakage conservative
LRCX,Lam Research,ai_semis,2026-01-28,Neutral,0.5,Limited exact contemporaneous source and no strong stock-specific catalyst found,Neutral,0.5,No strong source-backed directional edge,Insufficient direct earnings-day evidence retrieved,Limited source quality,Leakage conservative
KLAC,KLA,ai_semis,2026-01-29,Bullish,0.62,Beat and positive reaction supported short-term continuation,Bullish,0.6,AI-driven process control demand and cash flow supported medium-term view,Revenue and EPS above guide with stock up after earnings,KLA IR; Investing.com,Public on 2026-01-29
ORCL,Oracle,ai_infrastructure,2026-03-10,Bullish,0.78,Massive RPO and OCI acceleration created clear upside,Bullish,0.76,553B RPO and cloud infrastructure growth supported 30-day thesis,RPO up 325 percent and OCI revenue up 84 percent,Oracle IR,Public on 2026-03-10
DELL,Dell Technologies,ai_infrastructure,2026-02-26,Neutral,0.54,AI-server demand positive but margin and PC mix likely kept reaction balanced,Bullish,0.58,AI server backlog and infrastructure exposure supported 30-day outperformance,AI infrastructure peer read-through positive,Peer AI infrastructure sources,Public evidence weaker
SMCI,Super Micro Computer,ai_infrastructure,2026-02-03,Bullish,0.69,Record revenue and guidance outweighed gross-margin compression initially,Neutral,0.55,Margin pressure and execution overhangs raised 30-day risk,Q2 sales 12.7B with gross margin 6.3 percent and AI GPU platforms over 90 percent of sales,BusinessWire; MarketBeat,Public on 2026-02-03
