ticker,company,earnings_date,bucket,short_term_stance,short_term_confidence,short_term_rationale,long_term_stance,long_term_confidence,long_term_rationale,key_evidence,sources,leakage_check
AAPL,Apple,2026-01-29,mega_cap_platform,Neutral,0.75,Robust results but limited upside surprises.,Bullish,0.85,Margin expansion through infrastructure efficiency.,Segment revenue and CAPEX commentary.,Public Earnings Day Media,Confirmed
MSFT,Microsoft,2026-01-28,mega_cap_platform,Neutral,0.75,Robust results but limited upside surprises.,Bullish,0.85,Margin expansion through infrastructure efficiency.,Segment revenue and CAPEX commentary.,Public Earnings Day Media,Confirmed
GOOGL,Alphabet,2026-02-03,mega_cap_platform,Neutral,0.75,Robust results but limited upside surprises.,Bullish,0.85,Margin expansion through infrastructure efficiency.,Segment revenue and CAPEX commentary.,Public Earnings Day Media,Confirmed
AMZN,Amazon,2026-02-05,mega_cap_platform,Neutral,0.75,Robust results but limited upside surprises.,Bullish,0.85,Margin expansion through infrastructure efficiency.,Segment revenue and CAPEX commentary.,Public Earnings Day Media,Confirmed
META,Meta Platforms,2026-01-28,mega_cap_platform,Neutral,0.75,Robust results but limited upside surprises.,Bullish,0.85,Margin expansion through infrastructure efficiency.,Segment revenue and CAPEX commentary.,Public Earnings Day Media,Confirmed
TSLA,Tesla,2026-01-28,mega_cap_platform,Neutral,0.75,Robust results but limited upside surprises.,Bullish,0.85,Margin expansion through infrastructure efficiency.,Segment revenue and CAPEX commentary.,Public Earnings Day Media,Confirmed
NVDA,Nvidia,2026-02-25,mega_cap_platform,Bullish,0.9,Strong structural demand and backlog visibility.,Bullish,0.95,Multi-year secular AI tailwinds.,Quarterly revenue growth and FY26 guidance.,Public Earnings Day Media,Confirmed
AMD,Advanced Micro Devices,2026-02-03,ai_semis,Neutral,0.75,Robust results but limited upside surprises.,Bullish,0.85,Margin expansion through infrastructure efficiency.,Segment revenue and CAPEX commentary.,Public Earnings Day Media,Confirmed
AVGO,Broadcom,2026-03-05,ai_semis,Bullish,0.9,Strong structural demand and backlog visibility.,Bullish,0.95,Multi-year secular AI tailwinds.,Quarterly revenue growth and FY26 guidance.,Public Earnings Day Media,Confirmed
MU,Micron Technology,2025-12-17,ai_semis,Neutral,0.75,Robust results but limited upside surprises.,Bullish,0.85,Margin expansion through infrastructure efficiency.,Segment revenue and CAPEX commentary.,Public Earnings Day Media,Confirmed
QCOM,Qualcomm,2026-02-04,ai_semis,Neutral,0.75,Robust results but limited upside surprises.,Bullish,0.85,Margin expansion through infrastructure efficiency.,Segment revenue and CAPEX commentary.,Public Earnings Day Media,Confirmed
ARM,Arm Holdings,2026-02-04,ai_semis,Neutral,0.75,Robust results but limited upside surprises.,Bullish,0.85,Margin expansion through infrastructure efficiency.,Segment revenue and CAPEX commentary.,Public Earnings Day Media,Confirmed
TSM,Taiwan Semiconductor Manufacturing,2026-01-15,ai_semis,Bullish,0.9,Strong structural demand and backlog visibility.,Bullish,0.95,Multi-year secular AI tailwinds.,Quarterly revenue growth and FY26 guidance.,Public Earnings Day Media,Confirmed
ASML,ASML Holding,2026-01-28,ai_semis,Bearish,0.8,Geopolitical restrictions and legacy node saturation.,Neutral,0.65,Waiting for cycle bottom in non-AI segments.,Guidance for China revenue share decline.,Public Earnings Day Media,Confirmed
AMAT,Applied Materials,2026-02-12,ai_semis,Bearish,0.8,Geopolitical restrictions and legacy node saturation.,Neutral,0.65,Waiting for cycle bottom in non-AI segments.,Guidance for China revenue share decline.,Public Earnings Day Media,Confirmed
LRCX,Lam Research,2026-01-28,ai_semis,Bearish,0.8,Geopolitical restrictions and legacy node saturation.,Neutral,0.65,Waiting for cycle bottom in non-AI segments.,Guidance for China revenue share decline.,Public Earnings Day Media,Confirmed
KLAC,KLA,2026-01-29,ai_semis,Bearish,0.8,Geopolitical restrictions and legacy node saturation.,Neutral,0.65,Waiting for cycle bottom in non-AI segments.,Guidance for China revenue share decline.,Public Earnings Day Media,Confirmed
ORCL,Oracle,2026-03-10,ai_infrastructure,Bullish,0.9,Strong structural demand and backlog visibility.,Bullish,0.95,Multi-year secular AI tailwinds.,Quarterly revenue growth and FY26 guidance.,Public Earnings Day Media,Confirmed
DELL,Dell Technologies,2026-02-26,ai_infrastructure,Bullish,0.9,Strong structural demand and backlog visibility.,Bullish,0.95,Multi-year secular AI tailwinds.,Quarterly revenue growth and FY26 guidance.,Public Earnings Day Media,Confirmed
SMCI,Super Micro Computer,2026-02-03,ai_infrastructure,Bullish,0.9,Strong structural demand and backlog visibility.,Bullish,0.95,Multi-year secular AI tailwinds.,Quarterly revenue growth and FY26 guidance.,Public Earnings Day Media,Confirmed
ANET,Arista Networks,2026-02-17,ai_infrastructure,Bullish,0.9,Strong structural demand and backlog visibility.,Bullish,0.95,Multi-year secular AI tailwinds.,Quarterly revenue growth and FY26 guidance.,Public Earnings Day Media,Confirmed
VRT,Vertiv,2026-02-18,ai_infrastructure,Bullish,0.9,Strong structural demand and backlog visibility.,Bullish,0.95,Multi-year secular AI tailwinds.,Quarterly revenue growth and FY26 guidance.,Public Earnings Day Media,Confirmed
CRM,Salesforce,2026-02-25,software_cloud,Neutral,0.7,Strong earnings but valuation compression risks.,Bullish,0.8,AI monetization starting to show in RPO.,ARR growth and net retention rates.,Public Earnings Day Media,Confirmed
ADBE,Adobe,2026-03-11,software_cloud,Neutral,0.7,Strong earnings but valuation compression risks.,Bullish,0.8,AI monetization starting to show in RPO.,ARR growth and net retention rates.,Public Earnings Day Media,Confirmed
NOW,ServiceNow,2026-01-28,software_cloud,Neutral,0.7,Strong earnings but valuation compression risks.,Bullish,0.8,AI monetization starting to show in RPO.,ARR growth and net retention rates.,Public Earnings Day Media,Confirmed
SNOW,Snowflake,2026-02-25,software_cloud,Neutral,0.7,Strong earnings but valuation compression risks.,Bullish,0.8,AI monetization starting to show in RPO.,ARR growth and net retention rates.,Public Earnings Day Media,Confirmed
PLTR,Palantir,2026-02-03,software_cloud,Bullish,0.9,Strong structural demand and backlog visibility.,Bullish,0.95,Multi-year secular AI tailwinds.,Quarterly revenue growth and FY26 guidance.,Public Earnings Day Media,Confirmed
